Date,Price,PE,Forward_PE,Source,EPS,Forward_EPS,Band_15x,Band_20x,Band_25x,Band_30x,Band_35x,Band_40x,Band_fwd_15x,Band_fwd_20x,Band_fwd_25x,Band_fwd_30x,Band_fwd_35x,Band_fwd_40x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
2021-07-05,3278.389892578125,25.20976116757435,15.942954710278418,YFINANCE,130.04446455426566,205.63251619002267,1950.6669683139849,2600.8892910853133,3251.1116138566413,3901.3339366279697,4551.556259399298,5201.778582170627,3084.48774285034,4112.650323800453,5140.812904750566,6168.97548570068,7197.138066650794,8225.300647600907,1214.896012117698,2458.6100857436772,3702.3241593696557,4946.038232995635,6189.752306621613,2429.369226718508,3428.4203921716585,4427.471557624809,5426.52272307796,6425.573888531111
2021-07-12,3145.449951171875,24.214342728251047,15.381963125305226,YFINANCE,129.9002820961172,204.48950017291497,1948.5042314417578,2598.005641922344,3247.5070524029297,3897.0084628835157,4546.509873364102,5196.011283844688,3067.3425025937245,4089.7900034582995,5112.237504322874,6134.685005187449,7157.132506052024,8179.580006916599,1213.5490367272246,2455.8841838992107,3698.2193310711964,4940.554478243182,6182.889625415168,2415.8654871881226,3409.363389445448,4402.861291702773,5396.359193960098,6389.8570962174235
2021-07-19,3280.06005859375,25.01716896627705,15.777373248808695,YFINANCE,131.11235979639605,207.8964607648753,1966.6853969459407,2622.247195927921,3277.8089949099012,3933.3707938918815,4588.932592873862,5244.494391855842,3118.446911473129,4157.929215297506,5197.4115191218825,6236.893822946258,7276.376126770635,8315.858430595012,1224.8724588312934,2478.7996264659114,3732.7267941005284,4986.6539617351455,6240.5811293697625,2456.115761668558,3466.166143140336,4476.216524612114,5486.266906083892,6496.317287555669
2021-07-26,3356.530029296875,25.351373848900355,16.089419811958848,YFINANCE,132.40032075983402,208.6172197957103,1986.0048113975104,2648.0064151966803,3310.0080189958503,3972.0096227950207,4634.011226594191,5296.012830393361,3129.2582969356545,4172.344395914206,5215.430494892757,6258.516593871309,7301.60269284986,8344.688791828412,1236.9047944144133,2503.1497118432967,3769.3946292721794,5035.639546701062,6301.884464129945,2464.6309023760327,3478.1830410752577,4491.735179774482,5505.287318473708,6518.839457172933
2021-08-02,3412.050048828125,24.928891208070503,16.165185291687195,YFINANCE,136.87131209925232,211.0739832090104,2053.0696814887847,2737.4262419850465,3421.782802481308,4106.139362977569,4790.495923473832,5474.852483970093,3166.109748135156,4221.479664180208,5276.84958022526,6332.219496270312,7387.589412315364,8442.959328360415,1278.6735045789699,2587.6779110099706,3896.682317440971,5205.6867238719715,6514.691130302972,2493.6554241013996,3519.1435756296073,4544.6317271578155,5570.119878686023,6595.608030214231
2021-08-09,3335.0400390625,23.68215914462308,15.415495649243546,YFINANCE,140.82499905080255,216.3433544367517,2112.3749857620382,2816.4999810160507,3520.6249762700636,4224.7499715240765,4928.874966778089,5632.999962032101,3245.1503165512754,4326.867088735034,5408.583860918792,6490.300633102551,7572.017405286309,8653.734177470067,1315.6094751107705,2662.425995430729,4009.2425157506873,5356.059036070646,6702.875556390603,2555.9084594773863,3606.9974817424745,4658.086504007563,5709.175526272651,6760.26454853774
2021-08-16,3256.5,23.17249378692785,15.094611458174096,YFINANCE,140.53299700686807,215.73923972958752,2107.9949551030213,2810.6599401373614,3513.3249251717016,4215.989910206043,4918.654895240383,5621.319880274723,3236.088595943813,4314.78479459175,5393.480993239688,6472.177191887626,7550.873390535563,8629.5695891835,1312.8815457066075,2656.9054285020575,4000.929311297507,5344.953194092956,6688.977076888406,2548.7713699441506,3596.9253432517967,4645.079316559442,5693.233289867088,6741.3872631747345
2021-08-23,3436.449951171875,24.02481199967048,15.77054306791576,YFINANCE,143.03753765977476,217.9030827519903,2145.563064896621,2860.7507531954952,3575.938441494369,4291.126129793242,5006.313818092117,5721.5015063909905,3268.5462412798543,4358.061655039806,5447.577068799757,6537.0924825597085,7626.6078963196605,8716.123310079613,1336.2793616907957,2704.256070688153,4072.23277968551,5440.209488682867,6808.186197680225,2574.335292165562,3633.0021451161897,4691.668998066817,5750.335851017445,6809.002703968073
2021-08-30,3430.889892578125,23.8832596413418,15.665089222997524,YFINANCE,143.65249736008698,219.0150240281633,2154.7874604013045,2873.0499472017395,3591.3124340021745,4309.574920802609,5027.837407603044,5746.099894403479,3285.2253604224497,4380.300480563266,5475.375600704083,6570.4507208448995,7665.525840985716,8760.600961126533,1342.0244127399362,2715.882448840394,4089.740484940851,5463.598521041308,6837.456557141765,2587.471910674653,3651.5410523705564,4715.61019406646,5779.679335762364,6843.748477458267
2021-09-06,3416.659912109375,23.697103570058516,15.52129168453544,YFINANCE,144.1804861091274,220.12729233827534,2162.707291636911,2883.609722182548,3604.512152728185,4325.414583273822,5046.317013819459,5767.219444365096,3301.90938507413,4402.545846765507,5503.182308456883,6603.81877014826,7704.455231839637,8805.091693531014,1346.956967369238,2725.86456125094,4104.772155132641,5483.679749014343,6862.587342896044,2600.612392805132,3670.0854121177795,4739.558431430427,5809.031450743074,6878.504470055722
