Instrument,Date,Price,PE,Forward_PE,EPS,Forward_EPS,Band_15x,Band_20x,Band_25x,Band_30x,Band_35x,Band_40x,Band_fwd_15x,Band_fwd_20x,Band_fwd_25x,Band_fwd_30x,Band_fwd_35x,Band_fwd_40x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.IXIC,2006-06-30,2172.09,21.50358,21.1509,101.01062241729052,102.69492078351277,1515.1593362593578,2020.2124483458103,2525.265560432263,3030.3186725187156,3535.371784605168,4040.4248966916207,1540.4238117526916,2053.8984156702554,2567.3730195878193,3080.847623505383,3594.322227422947,4107.796831340511,1640.8921111189838,2056.514200996392,2472.1362908738,2887.7583807512083,3303.380470628617,1815.4508739279986,2097.267110518623,2379.083347109248,2660.8995836998724,2942.7158202904975
.IXIC,2006-07-31,2091.47,21.510914999999997,21.1509,97.2283140907767,98.88326265076189,1458.4247113616507,1944.5662818155342,2430.707852269418,2916.8494227233014,3402.990993177185,3889.1325636310685,1483.2489397614283,1977.6652530152378,2472.0815662690475,2966.4978795228567,3460.9141927766664,3955.3305060304756,1579.4494653232107,1979.508727711722,2379.567990100233,2779.6272524887445,3179.686514877256,1748.068007906758,2019.4242612582277,2290.7805146096975,2562.136767961167,2833.4930213126368
.IXIC,2006-08-31,2183.75,21.51825,21.1509,101.48362436536429,103.24619756133309,1522.2543654804645,2029.6724873072858,2537.090609134107,3044.508730960929,3551.9268527877502,4059.3449746145716,1548.6929634199964,2064.9239512266618,2581.154939033327,3097.385926839993,3613.616914646658,4129.8479024533235,1648.575908590618,2066.1442299976407,2483.712551404663,2901.2808728116856,3318.8491942187084,1825.1963988325838,2108.5254536391417,2391.8545084456996,2675.1835632522575,2958.5126180588154
.IXIC,2006-09-29,2258.43,22.98044,22.0402,98.27618618268404,102.46867088320433,1474.1427927402606,1965.523723653681,2456.9046545671013,2948.285585480521,3439.6665163939415,3931.047447307362,1537.0300632480648,2049.3734176640864,2561.716772080108,3074.0601264961297,3586.4034809121513,4098.746835328173,1596.4718834404775,2000.8427595814865,2405.2136357224954,2809.5845118635048,3213.9553880045137,1811.4512060173824,2092.6465657920216,2373.8419255666613,2655.0372853413005,2936.2326451159397
.IXIC,2006-10-31,2366.71,23.40747,22.75725,101.10917583147602,103.99806655022026,1516.6376374721403,2022.1835166295205,2527.7293957869006,3033.2752749442807,3538.821154101661,4044.367033259041,1559.9709982533038,2079.961331004405,2599.9516637555066,3119.9419965066077,3639.932329257709,4159.92266200881,1642.4930865014812,2058.5206879477532,2474.5482893940252,2890.575890840297,3306.603492286569,1838.4880125028649,2123.880352301911,2409.272692100957,2694.665031900003,2980.0573716990493
.IXIC,2006-11-30,2431.77,23.53411,23.32899,103.3295926635849,104.23811746672273,1549.9438899537736,2066.5918532716983,2583.2398165896225,3099.887779907547,3616.535743225472,4133.1837065433965,1563.5717620008409,2084.7623493344545,2605.952936668068,3127.1435240016817,3648.3341113352953,4169.524698668909,1678.563198495758,2103.727010194726,2528.890821893694,2954.054633592662,3379.2184452916304,1842.7316561302873,2128.7827456061696,2414.833835082052,2700.8849245579345,2986.9360140338167
.IXIC,2006-12-29,2415.29,23.61129,23.31405,102.29386026769397,103.59804495572412,1534.4079040154095,2045.8772053538794,2557.3465066923495,3068.815808030819,3580.285109369289,4091.754410707759,1553.9706743358618,2071.9608991144823,2589.951123893103,3107.9413486717235,3625.9315734503443,4143.921798228965,1661.7379866816302,2082.640135075965,2503.5422834703,2924.4444318646347,3345.34658025897,1831.416391552409,2115.710988839403,2400.0055861263972,2684.300183413391,2968.594780700385
.IXIC,2007-01-31,2463.93,23.19641,22.8863425,106.22031598855168,107.65940429319362,1593.3047398282752,2124.4063197710334,2655.507899713792,3186.6094796565503,3717.7110595993086,4248.812639542067,1614.8910643979043,2153.1880858638724,2691.4851073298405,3229.7821287958086,3768.0791502617767,4306.376171727745,1725.5222705799792,2162.5803607303433,2599.6384508807073,3036.696541031071,3473.754631181435,1903.2134999419056,2198.653312544277,2494.093125146648,2789.5329377490193,3084.9727503513905
.IXIC,2007-02-28,2416.15,23.27787,22.458635,103.79600882726814,107.58222839455738,1556.940132409022,2075.9201765453627,2594.9002206817036,3113.880264818044,3632.860308954385,4151.840353090725,1613.7334259183606,2151.6445678911477,2689.555709863934,3227.466851836721,3765.377993809508,4303.2891357822955,1686.1400115592837,2113.2229566727733,2540.305901786263,2967.388846899752,3394.4717920132416,1901.8491768424146,2197.077202716258,2492.3052285901013,2787.5332544639446,3082.761280337788
.IXIC,2007-03-30,2421.64,23.4219,22.0309275,103.39212446471036,109.92002038951831,1550.8818669706554,2067.842489294207,2584.803111617759,3101.763733941311,3618.7243562648628,4135.684978588414,1648.8003058427746,2198.4004077903664,2748.000509737958,3297.600611685549,3847.200713633141,4396.800815580733,1679.5790118498915,2105.0001192396057,2530.4212266293202,2955.8423340190343,3381.263441408749,1943.17689283784,2244.8203065120247,2546.4637201862097,2848.1071338603942,3149.7505475345793
