Instrument,Date,Price,PE,Forward_PE
.SPX,2016-06-30,2098.86,19.64987,17.03955
.SPX,2016-07-29,2173.6,19.88006,17.77255
.SPX,2016-08-31,2170.95,19.88056,17.87065
.SPX,2016-09-30,2168.27,19.84588,17.89892
.SPX,2016-10-31,2126.15,19.41049,17.40259
.SPX,2016-11-30,2198.81,20.05784,18.02301
.SPX,2016-12-30,2238.83,20.46974,18.34023
.SPX,2017-01-31,2278.87,20.61807,17.14922
.SPX,2017-02-28,2363.64,21.3106,17.90877
.SPX,2017-03-31,2362.72,21.40385,17.89681
.SPX,2017-04-28,2384.2,21.32705,17.96504
.SPX,2017-05-31,2411.8,21.38206,18.15871
.SPX,2017-06-30,2423.41,21.4169,18.27837
.SPX,2017-07-31,2470.3,21.70478,18.57864
.SPX,2017-08-31,2471.65,22.0032,18.71038
.SPX,2017-09-29,2519.36,22.41582,19.15662
.SPX,2017-10-31,2575.26,22.51486,19.45598
.SPX,2017-11-30,2647.58,23.2458,20.19458
.SPX,2017-12-29,2673.61,23.39865,20.37844
.SPX,2018-01-31,2823.81,24.22734,18.25423
.SPX,2018-02-28,2713.83,22.47975,17.13547
.SPX,2018-03-29,2640.87,22.00948,16.70041
.SPX,2018-04-30,2648.05,21.19712,16.55101
.SPX,2018-05-31,2705.27,21.53981,16.84438
.SPX,2018-06-29,2718.37,21.67788,16.90118
.SPX,2018-07-31,2816.29,21.66739,17.39382
.SPX,2018-08-31,2901.52,22.03632,17.9751
.SPX,2018-09-28,2913.98,22.1323,18.18511
.SPX,2018-10-31,2711.74,19.78706,16.69593
.SPX,2018-11-30,2760.17,19.51466,17.03745
.SPX,2018-12-31,2506.85,17.72781,15.5418
.SPX,2019-01-31,2704.1,18.92573,15.85922
.SPX,2019-02-28,2784.49,19.47698,16.48248
.SPX,2019-03-29,2834.4,19.9472,16.84368
.SPX,2019-04-30,2945.83,20.65747,17.50014
.SPX,2019-05-31,2752.06,18.89276,16.41179
.SPX,2019-06-28,2941.76,20.50761,17.67515
.SPX,2019-07-31,2980.38,20.42025,17.84518
.SPX,2019-08-30,2926.46,20.25344,17.82185
.SPX,2019-09-30,2976.74,20.77477,18.27605
.SPX,2019-10-31,3037.56,21.24809,18.60223
.SPX,2019-11-29,3140.98,22.39997,19.57452
.SPX,2019-12-31,3230.78,23.13078,20.248
.SPX,2020-01-31,3225.52,22.71913,18.17971
.SPX,2020-02-28,2954.22,20.70442,16.82937
.SPX,2020-03-31,2584.59,18.21461,15.65231
.SPX,2020-04-30,2912.43,20.99053,20.56292
.SPX,2020-06-30,3100.29,21.7179,22.81487
.SPX,2020-07-31,3271.12,24.31287,23.74136
.SPX,2020-08-31,3500.31,26.2247,24.77184
.SPX,2020-09-30,3363.0,26.91445,23.65573
.SPX,2020-10-30,3269.96,25.91701,22.24209
.SPX,2020-11-30,3621.63,28.21607,24.14765
.SPX,2020-12-31,3756.07,29.62333,25.43341
.SPX,2021-01-29,3714.24,28.81297,21.236
.SPX,2021-02-26,3811.15,28.97586,21.41172
.SPX,2021-03-31,3972.89,29.71917,22.12353
.SPX,2021-04-30,4181.17,28.16703,21.91617
.SPX,2021-05-28,4204.11,27.6504,21.66862
.SPX,2021-06-30,4297.5,28.207,21.47038
.SPX,2021-07-30,4395.26,27.0971,21.93778
.SPX,2021-08-31,4522.68,26.97588,22.05957
.SPX,2021-09-30,4307.54,25.62107,21.07547
.SPX,2021-10-29,4605.38,26.10143,22.10006
.SPX,2021-11-30,4567.0,25.2969,21.89461
.SPX,2021-12-31,4766.18,26.50911,22.78538
.SPX,2022-01-31,4515.55,23.90057,20.23558
.SPX,2022-02-28,4373.94,21.96189,
.SPX,2022-03-31,4530.41,22.75972,
.SPX,2022-04-29,4131.93,20.46255,
.SPX,2022-05-31,4132.15,20.10463,
.SPX,2022-06-30,3785.38,18.46341,16.59766
.SPX,2022-07-29,4130.29,20.17798,18.36371
.SPX,2022-08-31,3955.0,19.11415,17.37185
.SPX,2022-09-30,3585.62,17.46238,15.8188
.SPX,2022-10-31,3871.98,19.70908,16.82738
.SPX,2022-11-30,4080.11,20.39989,18.42751
.SPX,2022-12-30,3839.5,19.17806,16.96072
.SPX,2023-01-31,4076.6,20.63508,18.09872
.SPX,2023-02-28,3970.15,20.0743,17.76499
.SPX,2023-03-31,4109.31,20.88581,18.56211
.SPX,2023-04-28,4169.48,21.59979,18.74173
.SPX,2023-05-31,4179.83,22.11135,18.7675
.SPX,2023-06-30,4450.38,23.64659,20.10165
.SPX,2023-07-31,4588.96,24.15112,20.75853
.SPX,2023-08-31,4507.66,22.92934,20.15942
.SPX,2023-09-29,4288.05,21.89662,19.20455
.SPX,2023-10-31,4193.8,21.33035,18.87577
.SPX,2023-11-30,4567.8,23.01994,20.69211
.SPX,2023-12-29,4769.83,24.06152,21.70158
.SPX,2024-01-31,4845.65,24.58984,19.96731
.SPX,2024-02-29,5096.27,25.28436,20.8809
.SPX,2024-03-28,5254.35,26.12399,21.54779
.SPX,2024-04-30,5035.69,24.83797,20.58837
.SPX,2024-05-31,5277.51,25.7428,21.5173
.SPX,2024-06-28,5460.48,26.76717,22.3612
.SPX,2024-07-31,5522.3,26.54936,22.38379
