Instrument,Date,Price,PE,Forward_PE
.SOX,2016-09-30,835.6,25.1068,19.10976
.SOX,2016-10-31,823.52,24.04291,17.98823
.SOX,2016-11-30,879.47,23.99628,18.92052
.SOX,2016-12-30,906.47,24.8881,19.669
.SOX,2017-01-31,944.28,25.39113,16.67958
.SOX,2017-02-28,969.38,23.1641,16.78673
.SOX,2017-03-31,1011.4,24.99662,16.53723
.SOX,2017-04-28,1005.53,23.8773,16.13134
.SOX,2017-05-31,1091.42,25.23916,17.65424
.SOX,2017-06-30,1034.91,22.21204,16.43049
.SOX,2017-07-31,1085.15,22.61478,17.08798
.SOX,2017-08-31,1114.31,24.62725,17.28063
.SOX,2017-09-29,1171.74,24.18709,18.7153
.SOX,2017-10-31,1275.61,25.65092,19.28897
.SOX,2017-11-30,1272.55,24.76689,19.8152
.SOX,2017-12-29,1253.05,22.71939,19.54985
.SOX,2018-01-31,1361.5,27.39079,16.13496
.SOX,2018-02-28,1362.02,24.81536,15.70634
.SOX,2018-03-29,1328.9,23.20554,15.09074
.SOX,2018-04-30,1244.4,19.2485,13.86479
.SOX,2018-05-31,1379.0,20.27983,15.32714
.SOX,2018-06-29,1313.7,19.16988,14.33085
.SOX,2018-07-31,1367.47,18.97821,14.71168
.SOX,2018-08-31,1401.2,18.95523,15.08713
.SOX,2018-09-28,1366.74,18.33189,15.98872
.SOX,2018-10-31,1202.3,15.96832,12.84479
.SOX,2018-11-30,1239.6,15.57776,13.66536
.SOX,2018-12-31,1155.17,14.0731,12.98699
.SOX,2019-01-31,1272.09,16.33168,13.73016
.SOX,2019-02-28,1350.2,17.19691,15.05492
.SOX,2019-03-29,1395.51,17.70166,15.91452
.SOX,2019-04-30,1556.18,19.65911,17.45854
.SOX,2019-05-31,1296.18,16.80531,15.01612
.SOX,2019-06-28,1458.96,19.87529,17.46788
.SOX,2019-07-31,1542.44,20.93637,18.36005
.SOX,2019-08-30,1504.92,20.54273,18.25281
.SOX,2019-09-30,1558.75,22.62564,19.63395
.SOX,2019-10-31,1651.22,25.60688,19.97032
.SOX,2019-11-29,1716.84,26.25677,21.19208
.SOX,2019-12-31,1849.62,29.99019,25.21557
.SOX,2020-01-31,1789.93,28.21875,18.97496
.SOX,2020-02-28,1705.54,26.66652,17.95107
.SOX,2020-03-31,1510.59,23.29688,16.60148
.SOX,2020-04-30,1731.24,25.87393,20.42512
.SOX,2020-05-29,1852.49,27.90906,22.22564
