Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE,Source,EPS,Forward_EPS,Band_15x,Band_20x,Band_25x,Band_30x,Band_35x,Band_40x,Band_fwd_15x,Band_fwd_20x,Band_fwd_25x,Band_fwd_30x,Band_fwd_35x,Band_fwd_40x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.SOX,2006-09-29,454.7,23.15079,20.89883,18.28585,18.95162298630137,LSEG,19.640798434956213,23.992668085929456,294.6119765243432,392.81596869912426,491.01996087390535,589.2239530486864,687.4279452234674,785.6319373982485,359.89002128894185,479.8533617185891,599.8167021482363,719.7800425778837,839.743383007531,959.7067234371782,141.44362378042965,307.4969829930537,473.5503422056777,639.6037014183016,805.6570606309257,211.22863257031025,323.1374580713666,435.04628357242296,546.9551090734793,658.8639345745357
.SOX,2006-10-06,451.32,22.94938,20.55077,18.22433,18.77247750684932,LSEG,19.665890756090143,24.041578946376763,294.9883613413521,393.3178151218028,491.6472689022536,589.9767226827042,688.306176463155,786.6356302436056,360.62368419565144,480.83157892753525,601.0394736594191,721.2473683913029,841.4552631231867,961.6631578550705,141.62432665979574,307.88982919380913,474.1553317278225,640.4208342618358,806.6863367958493,211.65923804249536,323.7961981106328,435.93315817877027,548.0701182469078,660.2070783150452
.SOX,2006-10-13,471.27,23.9624,21.55085,19.11688,19.643684465753424,LSEG,19.667061730043734,23.99091681713819,295.00592595065604,393.3412346008747,491.67654325109334,590.0118519013121,688.3471605515307,786.6824692017494,359.8637522570728,479.81833634276376,599.7729204284548,719.7275045141456,839.6820885998366,959.6366726855275,141.6327594533961,307.9081620003437,474.1835645472913,640.4589670942388,806.7343696411865,211.21321460550877,323.113871676407,435.01452874730523,546.9151858182034,658.8158428891016
.SOX,2006-10-20,447.23,21.32876,20.15979,18.41598,18.759964438356164,LSEG,20.96840135103963,23.839597429385556,314.52602026559447,419.3680270207926,524.2100337759907,629.0520405311889,733.8940472863871,838.7360540415852,357.59396144078335,476.7919485877111,595.989935734639,715.1879228815667,834.3859100284944,953.5838971754222,151.00438415451384,328.2819776896983,505.55957122488275,682.8371647600671,860.1147582952517,209.88101648390386,321.07587564611237,432.2707348083208,543.4655939705293,654.6604531327378
.SOX,2006-10-27,452.31,21.27726,20.33145,18.56939,18.883181506849315,LSEG,21.257906328164438,23.953061079031514,318.86859492246657,425.15812656328876,531.4476582041109,637.7371898449331,744.0267214857554,850.3162531265775,359.2959161854727,479.0612215806303,598.8265269757878,718.5918323709454,838.3571377661029,958.1224431612605,153.089260347435,332.81447708488133,512.5396938223278,692.264910559774,871.9901272972204,210.8799371323001,322.6040239620388,434.3281107917775,546.0521976215161,657.7762844512548
.SOX,2006-11-03,449.17,21.11349,20.29335,18.61241,18.879518273972604,LSEG,21.274076431703147,23.79139093920781,319.11114647554723,425.48152863406295,531.8519107925787,638.2222929510945,744.5926751096101,850.9630572681259,356.8708640881171,475.8278187841562,594.7847734801952,713.7417281762342,832.6986828722733,951.6556375683124,153.2057096887891,333.06763675500906,512.929563821229,692.7914908874488,872.6534179536688,209.45661220486366,320.426622189065,431.3966321732663,542.3666421574676,653.336652141669
.SOX,2006-11-10,461.32,21.64484,20.94033,19.31412,19.541343863013697,LSEG,21.31316286006272,23.607383567572843,319.6974429009408,426.2632572012544,532.829071501568,639.3948858018816,745.9607001021952,852.5265144025088,354.1107535135926,472.14767135145684,590.1845891893211,708.2215070271852,826.2584248650495,944.2953427029137,153.4871914262104,333.6795751564109,513.8719588866114,694.0643426168119,874.2567263470125,207.8366329114351,317.94837866385296,428.0601244162708,538.1718701686887,648.2836159211066
.SOX,2006-11-17,483.25,22.50688,22.30028,20.24616,20.49377994520548,LSEG,21.4712123581767,23.58032541054274,322.06818537265053,429.424247163534,536.7803089544175,644.1363707453011,751.4924325361845,858.848494327068,353.7048811581411,471.6065082108548,589.5081352635685,707.4097623162822,825.311389368996,943.2130164217097,154.6253882171378,336.1540032706529,517.682618324168,699.2112333776829,880.7398484311981,207.59841607415498,317.58395466350885,427.5694932528627,537.5550318422165,647.5405704315704
.SOX,2006-11-24,489.33,22.78722,22.60969,20.52792,20.73894873972603,LSEG,21.473878779421096,23.59473501483105,322.1081816913164,429.4775755884219,536.8469694855274,644.2163633826328,751.5857572797383,858.9551511768439,353.92102522246574,471.89470029662095,589.8683753707762,707.8420504449315,825.8157255190866,943.7894005932419,154.64459050591344,336.195748848907,517.7469071919005,699.298065534894,880.8492238778877,207.72527653831003,317.7780257390917,427.8307749398733,537.8835241406549,647.9362733414366
.SOX,2006-12-01,474.09,22.62079,21.55761,19.39913,19.57653931506849,LSEG,20.958153981359626,24.217252721224458,314.3723097203944,419.16307962719253,523.9538495339906,628.7446194407888,733.5353893475869,838.3261592543851,363.2587908183669,484.34505442448915,605.4313180306115,726.5175816367338,847.603845242856,968.6901088489783,150.93058750584106,328.12154453466894,505.3125015634968,682.5034585923246,859.6944156211525,213.20584932835334,326.1622032939987,439.11855725964404,552.0749112252894,665.0312651909347
.SOX,2006-12-08,477.38,22.73173,21.72965,19.66501,19.79511060273973,LSEG,21.000601362060873,24.116056211069036,315.0090204309131,420.0120272412175,525.0150340515219,630.0180408618262,735.0210476721305,840.024054482435,361.7408431660356,482.3211242213807,602.9014052767259,723.4816863320711,844.0619673874163,964.6422484427615,151.23627321236947,328.7861021159107,506.3359310194519,683.885759922993,861.4355888265343,212.31492713560425,324.7992709623297,437.2836147890551,549.7679586157806,662.252302442506
.SOX,2006-12-15,475.84,22.64758,21.76302,19.76344,19.85109282191781,LSEG,21.0106333656841,23.970468742890557,315.1595004852615,420.212667313682,525.2658341421024,630.319000970523,735.3721677989436,840.425334627364,359.55703114335836,479.40937485781114,599.2617185722639,719.1140622867167,838.9664060011695,958.8187497156223,151.3085188978464,328.94316349290784,506.57780808796923,684.2124526830306,861.8470972780921,211.03319216087885,322.8384734292771,434.6437546976754,546.4490359660736,658.2543172344718
.SOX,2006-12-22,463.67,21.86284,20.94527,19.23605,19.27819515068493,LSEG,21.208132154834416,24.0515253827341,318.12198232251626,424.1626430966883,530.2033038708604,636.2439646450325,742.2846254192045,848.3252861933767,360.7728807410115,481.03050765468197,601.2881345683525,721.545761482023,841.8033883956934,962.0610153093639,152.73081058940767,332.0352109984928,511.3396114075779,690.6440118166629,869.9484122257481,211.74680530025856,323.9301584584302,436.11351161660184,548.2968647747734,660.4802179329452
.SOX,2006-12-29,467.92,22.06399,21.13293,19.43432,19.443627452054795,LSEG,21.207406276018073,24.065468295657475,318.1110941402711,424.1481255203615,530.1851569004518,636.2221882805422,742.2592196606325,848.296251040723,360.9820244348621,481.30936591314946,601.6367073914369,721.9640488697243,842.2913903480116,962.6187318262989,152.7255831578168,332.02384661599154,511.32211007416635,690.6203735323411,869.9186369905159,211.8695570684364,324.11794405293074,436.3663310374251,548.6147180219194,660.8631050064138
.SOX,2007-01-05,469.09,22.12453,19.54312,,19.54312,LSEG,21.2022583078601,24.002820429900652,318.03387461790146,424.04516615720195,530.0564576965024,636.0677492358029,742.0790407751034,848.0903323144039,360.04230644850975,480.05640859801304,600.0705107475163,720.0846128970195,840.0987150465228,960.1128171960261,152.68850995665434,331.9432498580561,511.19798975945787,690.4527296608595,869.7074695622614,211.31801261452787,323.2741916189891,435.23037062345037,547.1865496279116,659.1427286323728
.SOX,2007-01-12,482.51,22.74749,20.60731,,20.60731,LSEG,21.21157103487022,23.414506793948362,318.1735655230533,424.2314206974044,530.2892758717555,636.3471310461066,742.4049862204578,848.4628413948088,351.21760190922544,468.29013587896725,585.3626698487091,702.4352038184509,819.5077377881927,936.5802717579345,152.75557575644615,332.089050216862,511.42252467727786,690.7559991376936,870.0894735981095,206.13856844435045,315.35068047844055,424.5627925125307,533.7749045466207,642.9870165807108
.SOX,2007-01-19,456.83,21.64073,19.69273,,19.69273,LSEG,21.10973151090559,23.197900951264753,316.64597266358385,422.1946302181118,527.7432877726397,633.2919453271677,738.8406028816956,844.3892604362236,347.9685142689713,463.9580190252951,579.9475237816188,695.9370285379426,811.9265332942664,927.9160380505901,152.02217627875513,330.49464729723127,508.9671183157074,687.4395893341834,865.9120603526596,204.23159603957524,312.4333950328408,420.6351940261064,528.8369930193719,637.0387920126375
.SOX,2007-01-26,462.78,22.17108,21.53504,16.98019,21.210584931506848,LSEG,20.873137438500965,21.81835161521512,313.09706157751447,417.4627487700193,521.8284359625242,626.1941231550289,730.5598103475338,834.9254975400386,327.2752742282268,436.3670323043024,545.458790380378,654.5505484564536,763.6423065325292,872.7340646086049,150.31833908106157,326.7905227577227,503.26270643438386,679.7348901110449,856.2070737877061,192.08620567392703,293.85338283334096,395.6205599927549,497.3877371521689,599.1549143115828
.SOX,2007-02-02,466.49,23.64431,22.56607,16.81531,22.0461382739726,LSEG,19.729482484369388,21.159714876266218,295.9422372655408,394.58964968738775,493.2370621092347,591.8844745310817,690.5318869529286,789.1792993747755,317.3957231439933,423.1942975253244,528.9928719066554,634.7914462879866,740.5900206693176,846.3885950506487,142.08228383093947,308.8854233726272,475.68856291431496,642.4917024560026,809.2948419976905,186.28764516242083,284.9827478187559,383.677850475091,482.37295313142613,581.0680557877612
.SOX,2007-02-09,463.19,23.76351,22.03336,17.68326,21.556636712328764,LSEG,19.49164917135558,21.487118152113702,292.3747375703337,389.83298342711157,487.2912292838895,584.7494751406674,682.2077209974452,779.6659668542231,322.30677228170555,429.74236304227406,537.1779538028426,644.6135445634111,752.0491353239796,859.4847260845481,140.36952221588686,305.1618972415903,469.95427226729373,634.7466472929971,799.5390223187005,189.1700651587555,289.3922725094942,389.6144798602329,489.8366872109716,590.0588945617103
.SOX,2007-02-16,473.13,23.9317,22.73439,18.22114,22.15323178082192,LSEG,19.770012159604207,21.35715477908687,296.5501823940631,395.40024319208413,494.2503039901052,593.1003647881262,691.9504255861473,790.8004863841683,320.35732168630307,427.1430955817374,533.9288694771717,640.7146433726061,747.5004172680405,854.2861911634748,142.37415914114345,309.5199572943345,476.66575544752556,643.8115536007165,810.9573517539077,188.02588288313848,287.6419030277899,387.25792317244134,486.87394331709277,586.4899634617442
.SOX,2007-02-23,488.5,24.74742,23.2667,18.96788,22.63071019178082,LSEG,19.739431423558496,21.585712328966892,296.0914713533775,394.78862847116994,493.4857855889624,592.182942706755,690.8800998245474,789.5772569423399,323.78568493450337,431.71424657933784,539.6428082241723,647.5713698690067,755.4999315138413,863.4284931586757,142.15393132614383,309.0411842901257,475.9284372541076,642.8156902180895,809.7029431820714,190.03807671468198,290.72015616023594,391.4022356057899,492.0843150513439,592.7663944968979
.SOX,2007-03-02,461.34,23.35572,22.3448,18.0066,21.61978575342465,LSEG,19.7527629206036,21.338786853006724,296.29144380905404,395.055258412072,493.81907301509,592.5828876181081,691.3467022211261,790.110516824144,320.0818027951009,426.7757370601345,533.4696713251681,640.1636055902018,746.8575398552354,853.551474120269,142.24993838302203,309.2499026441034,476.2498669051847,643.249831166266,810.2497954273474,187.8641738187207,287.39452058068883,386.92486734265697,486.4552141046251,585.9855608665932
.SOX,2007-03-09,475.05,24.2488,22.92594,18.83982,22.164690246575343,LSEG,19.590660156378874,21.43273804935757,293.8599023456831,391.8132031275775,489.76650390947185,587.7198046913662,685.6731054732606,783.626406255155,321.49107074036357,428.6547609871514,535.8184512339393,642.9821414807271,750.145831727515,857.3095219743028,141.08255191079172,306.7120164629987,472.34148101520566,637.9709455674125,803.6004101196196,188.69130911949088,288.65987175642493,388.628434393359,488.59699703029304,588.5655596672271
.SOX,2007-03-16,471.99,24.09766,22.83661,18.88933,22.02552506849316,LSEG,19.586549067419824,21.4292280675373,293.7982360112974,391.7309813483965,489.6637266854956,587.5964720225948,685.5292173596938,783.461962696793,321.4384210130595,428.58456135074596,535.7307016884324,642.876842026119,750.0229823638055,857.1691227014919,141.0529458170284,306.6476531197308,472.24236042243325,637.8370677251356,803.4317750278381,188.660407651693,288.6125987062074,388.56478976072174,488.51698081523614,588.4691718697505
.SOX,2007-03-23,479.27,24.50774,23.41091,19.11517,22.44583964383562,LSEG,19.5558627600913,21.35228655309509,293.3379414013695,391.117255201826,488.89656900228255,586.675882802739,684.4551966031955,782.234510403652,320.28429829642636,427.04573106190185,533.8071638273773,640.5685965928527,747.3300293583281,854.0914621238037,140.83195772821114,306.16722728806377,471.50249684791646,636.837766407769,802.1730359676218,187.9830235931419,287.5763369070623,387.16965022098265,486.76296353490307,586.3562768488234
.SOX,2007-03-30,465.57,23.81018,22.76662,18.67966,21.770073589041097,LSEG,19.553401108265458,21.385779799769015,293.30101662398187,391.0680221653092,488.8350277066364,586.6020332479637,684.369038789291,782.1360443306183,320.7866969965352,427.7155959953803,534.6444949942254,641.5733939930705,748.5022929919155,855.4311919907606,140.81423009071787,306.12868758652706,471.44314508233623,636.7576025781453,802.0720600739546,188.2778942040275,288.02742982236487,387.7769654407022,487.5265010590396,587.276036677377
.SOX,2007-04-05,475.6,24.94181,23.43388,19.03082,22.28787808219178,LSEG,19.068383569596595,21.338953768775717,286.0257535439489,381.3676713919319,476.70958923991486,572.0515070878978,667.3934249358808,762.7353427838638,320.0843065316358,426.77907537551437,533.473844219393,640.1686130632716,746.8633819071501,853.5581507510287,137.32136606619372,298.53523713015693,459.74910819412014,620.9629792580832,782.1768503220464,187.8656433255514,287.3967686315147,386.92789393747796,486.4590192434412,585.9901445494045
