Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE,EPS,Forward_EPS,Band_10x,Band_13x,Band_16x,Band_19x,Band_22x,Band_25x,Band_fwd_10x,Band_fwd_13x,Band_fwd_16x,Band_fwd_19x,Band_fwd_22x,Band_fwd_25x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.DJI,2006-08-11,11088.02551,16.25246,14.16033,12.88922,13.38373402739726,682.2367512364282,828.4702525694387,6822.3675123642815,8869.077766073566,10915.78801978285,12962.498273492136,15009.20852720142,17055.918780910706,8284.702525694387,10770.113283402703,13255.524041111019,15740.934798819335,18226.345556527653,20711.75631423597,7600.626142329822,9964.329637879611,12328.033133429402,14691.736628979192,17055.44012452898,8552.53287582147,10681.638186253322,12810.743496685174,14939.848807117029,17068.954117548878
.DJI,2006-08-18,11381.46709,16.57751,14.55747,13.21158,13.709374931506847,686.560713279618,830.1959167987407,6865.60713279618,8925.289272635033,10984.971412473888,13044.653552312742,15104.335692151595,17164.017831990448,8301.959167987407,10792.546918383629,13283.13466877985,15773.722419176072,18264.310169572294,20754.897919968516,7648.7983038036045,10027.482763333404,12406.167222863205,14784.851682393008,17163.536141922807,8570.347396026584,10703.88753180459,12837.427667582597,14970.967803360603,17104.507939138606
.DJI,2006-08-25,11284.05345,16.44312,14.43371,13.05982,13.541622520547946,686.2477102885583,833.2866636090077,6862.477102885583,8921.220233751259,10979.963364616933,13038.706495482607,15097.449626348283,17156.192757213958,8332.866636090077,10832.726626917101,13332.586617744124,15832.446608571146,18332.30659939817,20832.166590225195,7645.311217081637,10022.911234498424,12400.511251915214,14778.111269332003,17155.71128674879,8602.254050035786,10743.737169193739,12885.220288351693,15026.703407509649,17168.1865266676
.DJI,2006-09-01,11464.15262,16.69994,14.82639,13.26122,13.780084575342466,686.4786711808546,831.9363032439945,6864.786711808546,8924.22272535111,10983.658738893673,13043.094752436236,15102.530765978801,17161.966779521365,8319.363032439946,10815.171942171928,13310.980851903912,15806.789761635897,18302.59867136788,20798.407581099862,7647.884293645837,10026.284506987964,12404.684720330091,14783.08493367222,17161.485147014348,8588.313897833383,10726.326693928764,12864.339490024146,15002.35228611953,17140.36508221491
.DJI,2006-09-08,11392.11295,16.57272,14.7317,13.17284,13.659716821917808,687.4015218986383,833.9933468987216,6874.015218986383,8936.219784682298,10998.424350378213,13060.628916074127,15122.833481770042,17185.038047465958,8339.933468987216,10841.913509683382,13343.893550379546,15845.87359107571,18347.853631771875,20849.83367246804,7658.165538797674,10039.763095970287,12421.3606531429,14802.958210315513,17184.555767488124,8609.549341628122,10752.848582898194,12896.147824168267,15039.44706543834,17182.74630670841
.DJI,2006-09-15,11560.76582,16.82716,14.92816,13.37362,13.829334465753426,687.0301239187124,835.9596659281583,6870.301239187124,8931.391610943261,10992.481982699399,13053.572354455537,15114.662726211674,17175.753097967812,8359.596659281582,10867.475657066057,13375.354654850533,15883.233652635008,18391.112650419484,20898.99164820396,7654.027888355482,10034.338685907187,12414.64948345889,14794.960281010595,17175.2710785623,8629.848209440763,10778.200740523705,12926.55327160665,15074.905802689596,17223.258333772537
.DJI,2006-09-22,11508.09682,16.76117,14.85835,13.31567,13.73832205479452,686.5926913216679,837.6639282512529,6865.926913216679,8925.704987181682,10985.483061146686,13045.26113511169,15105.039209076693,17164.817283041695,8376.63928251253,10889.631067266288,13402.622852020046,15915.614636773804,18428.606421527562,20941.59820628132,7649.1545630375795,10027.949814912761,12406.74506678794,14785.540318663123,17164.335570538304,8647.44179171132,10800.174146875112,12952.906502038903,15105.638857202695,17258.371212366485
.DJI,2006-09-29,11679.07096,16.98416,15.09002,13.51536,13.916574739726029,687.6448973631901,839.2202232537229,6876.448973631901,8939.383665721472,11002.318357811042,13065.253049900612,15128.187741990183,17191.122434079753,8392.202232537229,10909.862902298399,13427.523572059567,15945.184241820734,18462.844911581902,20980.505581343074,7660.876922954159,10043.317688053125,12425.758453152092,14808.199218251058,17190.63998335002,8663.507865456057,10820.239779981312,12976.971694506567,15133.703609031822,17290.435523557073
.DJI,2006-10-06,11850.2052,17.26516,15.33201,13.73633,14.112298438356165,686.3652117906813,839.7076671644099,6863.652117906813,8922.747753278858,10981.843388650901,13040.939024022944,15100.034659394989,17159.130294767034,8397.0766716441,10916.19967313733,13435.322674630559,15954.445676123789,18473.56867761702,20992.69167911025,7646.620271434367,10024.627389041518,12402.634506648668,14780.64162425582,17158.64874186297,8668.539886893568,10826.52449506179,12984.509103230012,15142.493711398236,17300.478319566453
.DJI,2006-10-13,11960.50593,17.33393,15.52281,13.86278,14.222074164383562,690.0054361590245,840.9818280903622,6900.054361590245,8970.070670067318,11040.086978544392,13110.103287021466,15180.11959549854,17250.135903975613,8409.818280903623,10932.763765174708,13455.709249445796,15978.654733716883,18501.60021798797,21024.545702259056,7687.175085357587,10077.794263291955,12468.413441226323,14859.032619160691,17249.651797095055,8681.69341072197,10842.952515210822,13004.211619699674,15165.470724188526,17326.729828677377
