Instrument,Date,Price,PE,Forward_PE
.DJI,2017-09-29,22405.08903,20.39814,18.49307
.DJI,2017-10-31,23377.24452,21.0286,18.78481
.DJI,2017-11-30,24272.35191,21.82619,19.83013
.DJI,2017-12-29,24719.21707,22.24625,20.19091
.DJI,2018-01-31,26149.39213,27.35532,18.05772
.DJI,2018-02-28,25029.19965,21.67005,16.84005
.DJI,2018-03-29,24103.10776,20.82837,16.24597
.DJI,2018-04-30,24163.14881,20.07986,15.93481
.DJI,2018-05-31,24415.84452,20.20659,16.01123
.DJI,2018-06-29,24271.40986,19.96735,15.65593
.DJI,2018-07-31,25415.18649,19.74714,16.28114
.DJI,2018-08-31,25964.81765,20.14739,16.67178
.DJI,2018-09-28,26458.30589,20.52183,17.01608
.DJI,2018-10-31,25115.75752,18.49956,15.81136
.DJI,2018-11-30,25538.45684,18.49292,16.24447
.DJI,2018-12-31,23327.45597,16.87472,14.85385
.DJI,2019-01-31,24999.67455,17.92859,15.04215
.DJI,2019-02-28,25915.99771,17.8574,15.60309
.DJI,2019-03-29,25928.67734,17.87415,15.6793
.DJI,2019-04-30,26592.91141,18.1961,16.41175
.DJI,2019-05-31,24815.03637,16.64359,15.41146
.DJI,2019-06-28,26599.96486,17.83868,16.48025
.DJI,2019-07-31,26864.26557,18.7895,17.42508
.DJI,2019-08-30,26403.28226,18.65663,17.63233
.DJI,2019-09-30,26916.8273,19.00183,18.00704
.DJI,2019-10-31,27046.23089,19.4973,18.33864
.DJI,2019-11-29,28051.4146,20.46439,19.39425
.DJI,2019-12-31,28538.44141,20.77818,19.7414
.DJI,2020-01-31,28256.03232,20.25207,17.38352
.DJI,2020-02-28,25409.35693,17.88409,16.03086
.DJI,2020-03-31,21917.15568,15.9276,14.88473
.DJI,2020-04-30,24345.7185,18.16854,19.27186
.DJI,2020-05-29,25383.11185,19.45606,21.0796
.DJI,2020-06-30,25812.88419,19.70605,21.09256
.DJI,2020-07-31,26428.32423,22.1486,21.5036
.DJI,2020-08-31,28430.04895,23.33827,22.70715
.DJI,2020-09-30,27781.70434,22.742,22.47372
.DJI,2020-10-30,26501.5955,21.18257,20.47531
.DJI,2020-11-30,29638.63855,23.35042,22.33366
.DJI,2020-12-31,30606.484,23.80861,22.83947
.DJI,2021-01-29,29982.61517,22.57167,19.65241
.DJI,2021-02-26,30932.36698,23.55377,20.13817
.DJI,2021-03-31,32981.55437,24.98212,21.21961
.DJI,2021-04-30,33874.85401,22.4456,19.22185
.DJI,2021-05-28,34529.44915,22.71146,19.29148
.DJI,2021-06-30,34502.51282,22.56198,18.76997
.DJI,2021-07-30,34935.47149,20.33589,18.32136
.DJI,2021-08-31,35360.72697,21.72294,18.44475
.DJI,2021-09-30,33843.92318,20.73121,17.60998
.DJI,2021-10-29,35819.56044,20.31179,17.81492
.DJI,2021-11-30,34483.72316,19.5084,17.38833
.DJI,2021-12-31,36338.29765,20.67052,17.99502
.DJI,2022-01-31,35131.85868,18.79742,18.06238
.DJI,2022-02-28,33892.59772,17.66703,
.DJI,2022-03-31,34678.34835,18.16716,
.DJI,2022-04-29,32977.2068,17.72993,
.DJI,2022-05-31,32990.12469,17.79331,
.DJI,2022-06-30,30775.43096,16.60606,15.78859
.DJI,2022-07-29,32845.12793,18.30456,17.24817
.DJI,2022-08-31,31510.43273,17.34063,16.16786
.DJI,2022-09-30,28725.50628,15.91582,14.84042
.DJI,2022-10-31,32732.95316,18.59205,16.83118
.DJI,2022-11-30,34589.76851,19.60019,17.89978
.DJI,2022-12-30,33147.24845,18.72627,17.09686
.DJI,2023-01-31,34086.03658,20.29862,17.72961
.DJI,2023-02-28,32656.69804,19.60541,17.12952
.DJI,2023-03-31,33274.15357,19.97278,17.50035
.DJI,2023-04-28,34098.16358,20.48365,17.29234
.DJI,2023-05-31,32908.26743,19.74525,16.57801
.DJI,2023-06-30,34407.59985,20.69316,17.30892
.DJI,2023-07-31,35559.53322,22.23913,18.55516
.DJI,2023-08-31,34721.91329,21.77416,18.05466
.DJI,2023-09-29,33507.4995,21.16505,17.47551
.DJI,2023-10-31,33052.86874,20.49532,17.34329
.DJI,2023-11-30,35950.89267,21.97481,19.11854
.DJI,2023-12-29,37689.53566,22.88084,20.01339
.DJI,2024-01-31,38150.29583,22.95447,17.49289
.DJI,2024-02-29,38996.38547,24.03026,18.6024
.DJI,2024-03-28,39807.37445,24.59219,18.68318
.DJI,2024-04-30,37815.91599,22.86967,17.64268
.DJI,2024-05-31,38686.32194,23.87442,17.99277
.DJI,2024-06-28,39118.86422,24.09353,18.20226
.DJI,2024-07-31,40842.79225,23.96066,18.72794
.DJI,2024-08-30,41563.08,24.58841,19.07902
.DJI,2024-09-30,42330.15,25.14173,19.56436
.DJI,2024-10-31,41763.46,23.69213,19.4166
.DJI,2024-11-29,44910.65,26.40831,21.7324
.DJI,2024-12-31,42544.22,24.83557,20.6889
.DJI,2025-01-31,44544.66,24.67114,19.43749
.DJI,2025-02-28,43840.91,23.92033,19.48487
.DJI,2025-03-31,42001.76,22.92322,18.79321
.DJI,2025-04-30,40669.36,21.33031,18.39988
.DJI,2025-05-30,42270.07,21.75177,18.91931
.DJI,2025-06-30,44094.77,22.77558,19.64853
.DJI,2025-07-31,44130.98,22.31262,20.09094
.DJI,2025-08-29,45544.88,22.86678,20.66607
.DJI,2025-09-30,46397.89,23.33585,21.37575
.DJI,2025-10-31,47562.87,23.28016,21.33578
.DJI,2025-11-28,47716.42,23.24422,21.8115
.DJI,2025-12-31,48063.29,23.30497,21.70569
.DJI,2026-01-30,48892.47,24.04355,20.54599
.DJI,2026-02-27,48977.92,23.9922,
.DJI,2026-03-31,46341.51,22.70074,19.67153
.DJI,2026-04-30,49652.14,23.85695,20.01749
.DJI,2026-05-29,51032.46,24.29173,20.26584
