Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE
.IXIC,2007-09-21,2671.22,24.41661,22.05468,19.19669,19.98753106849315
.IXIC,2007-09-28,2701.5,24.69926,22.38858,19.5205,20.259128821917805
.IXIC,2007-10-05,2780.32,25.39474,23.06563,20.11321,20.816937506849314
.IXIC,2007-10-12,2805.68,25.65018,23.30195,20.30922,20.965160821917806
.IXIC,2007-10-19,2725.16,25.04613,22.61812,19.67461,20.263312
.IXIC,2007-10-26,2804.19,25.73083,22.81889,20.29409,20.750629178082193
.IXIC,2007-11-02,2810.38,25.71456,22.92061,20.31601,20.73702753424657
.IXIC,2007-11-09,2627.94,23.82786,21.43071,19.02575,19.368374438356163
.IXIC,2007-11-16,2637.24,24.01685,21.83307,19.24529,19.564331369863016
.IXIC,2007-11-23,2596.6,23.75992,21.55131,18.9853,19.252446246575342
.IXIC,2007-11-30,2660.96,24.32519,22.04167,19.51098,19.72591531506849
.IXIC,2007-12-07,2706.16,24.66315,22.44476,19.85384,20.0242018630137
.IXIC,2007-12-14,2635.74,23.96797,21.89933,19.26609,19.38873405479452
.IXIC,2007-12-21,2691.99,24.43938,22.24401,19.57121,19.644437397260276
.IXIC,2007-12-28,2674.46,24.337,22.1781,19.4667,19.488985479452055
.IXIC,2008-01-04,2504.65,22.74064,18.19992,,18.19992
.IXIC,2008-01-11,2439.94,22.11932,17.76536,,17.76536
.IXIC,2008-01-18,2340.02,21.14392,17.15633,,17.15633
.IXIC,2008-01-25,2326.2,20.7539,17.10154,,17.10154
.IXIC,2008-02-01,2413.36,21.53014,17.8489,,17.8489
.IXIC,2008-02-08,2304.85,20.41029,17.15249,,17.15249
.IXIC,2008-02-15,2321.8,20.48559,17.34018,,17.34018
.IXIC,2008-02-22,2303.35,19.81038,17.13794,15.30767,16.872900901639344
.IXIC,2008-02-29,2271.48,19.48919,16.91844,12.86307,16.25362524590164
.IXIC,2008-03-07,2212.49,19.01932,16.66149,12.53547,15.906180327868853
.IXIC,2008-03-14,2212.49,19.13912,16.74491,12.56494,15.899779453551913
.IXIC,2008-03-20,2258.11,19.54457,17.12213,12.87156,16.193043661202186
.IXIC,2008-03-28,2261.18,20.03374,17.18994,13.63611,16.335467213114754
.IXIC,2008-04-04,2370.98,21.00449,17.99912,15.92008,17.459478469945356
.IXIC,2008-04-11,2290.24,20.29849,17.45712,15.39234,16.88168950819672
.IXIC,2008-04-18,2402.97,21.27469,18.43865,16.18922,17.768737786885247
.IXIC,2008-04-25,2422.93,21.2652,18.61077,16.33138,17.88834038251366
.IXIC,2008-05-02,2476.99,21.74766,19.12165,16.73883,18.320866229508194
.IXIC,2008-05-09,2445.52,21.36668,18.85111,16.49696,18.01493650273224
.IXIC,2008-05-16,2528.85,22.0535,19.50835,17.07666,18.598127240437158
.IXIC,2008-05-23,2444.67,21.24876,18.84424,16.45702,17.905005901639345
.IXIC,2008-05-30,2522.66,21.97317,19.44916,16.98004,18.430479344262295
.IXIC,2008-06-06,2474.56,21.51185,19.05707,16.61718,18.003784153005466
.IXIC,2008-06-13,2454.5,21.36882,18.92212,16.43993,17.80309991803279
.IXIC,2008-06-20,2406.09,20.9217,18.64074,16.18086,17.48473081967213
.IXIC,2008-06-27,2315.63,20.06615,17.97264,15.46787,16.747629535519124
.IXIC,2008-07-03,2245.38,19.48784,17.47618,15.02816,16.238792841530056
.IXIC,2008-07-11,2239.08,19.43095,17.5089,15.08163,16.228946147540984
.IXIC,2008-07-18,2282.78,19.52414,18.04589,15.14481,16.46060038251366
.IXIC,2008-07-25,2310.53,19.7787,18.34748,15.42406,16.694070327868854
.IXIC,2008-08-01,2310.96,19.87026,18.12927,15.45218,16.56397693989071
.IXIC,2008-08-08,2414.1,20.88435,19.16373,16.14607,17.34159103825137
.IXIC,2008-08-15,2452.52,21.25501,19.45821,16.41016,17.559424754098362
.IXIC,2008-08-22,2414.71,20.94357,19.15615,16.14366,17.221900956284152
