Instrument,Date,Price,PE,Forward_PE,EPS,Forward_EPS,Band_10x,Band_13x,Band_16x,Band_19x,Band_22x,Band_25x,Band_fwd_10x,Band_fwd_13x,Band_fwd_16x,Band_fwd_19x,Band_fwd_22x,Band_fwd_25x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.DJI,2009-09-30,9712.277042,15.30555,15.29704,634.5591659234722,634.912181833871,6345.591659234722,8249.269157005137,10152.946654775555,12056.624152545972,13960.301650316387,15863.979148086804,6349.12181833871,8253.858363840323,10158.594909341937,12063.33145484355,13968.068000345163,15872.804545846777,7432.791659979788,9567.64491922166,11702.498178463535,13837.351437705407,15972.20469694728,7092.578013546589,8761.160839630602,10429.743665714615,12098.326491798629,13766.90931788264
.DJI,2009-11-30,10344.83866,16.70624,15.90049,619.2200435286455,650.5987337497146,6192.200435286455,8049.860565872392,9907.520696458329,11765.180827044265,13622.840957630202,15480.501088216139,6505.987337497146,8457.78353874629,10409.579739995434,12361.375941244578,14313.17214249372,16264.968343742865,7253.119681178955,9336.367389359486,11419.615097540018,13502.862805720551,15586.110513901083,7267.811843373752,8977.61975833801,10687.427673302267,12397.235588266527,14107.043503230783
.DJI,2009-12-31,10428.04659,16.79196,15.95017,621.0142586094775,653.7890561667995,6210.142586094775,8073.185361923207,9936.22813775164,11799.270913580072,13662.313689408504,15525.356465236937,6537.890561667995,8499.257730168392,10460.624898668792,12421.99206716919,14383.359235669588,16344.726404169987,7274.1358883431985,9363.419890881753,11452.703893420306,13541.98789595886,15631.271898497414,7303.450804601718,9021.643055773611,10739.835306945506,12458.027558117401,14176.219809289292
.DJI,2010-03-31,10856.63165,16.47855,13.76769,658.8341601657913,788.5586943052901,6588.341601657913,8564.844082155287,10541.346562652661,12517.849043150036,14494.351523647409,16470.854004144785,7885.586943052902,10251.263025968772,12616.939108884642,14982.615191800513,17348.291274716383,19713.967357632253,7717.132324238867,9933.654170681548,12150.176017124228,14366.69786356691,16583.219710009587,8808.956919784112,10881.330914683018,12953.704909581924,15026.078904480832,17098.452899379736
.DJI,2010-04-30,11008.6127,15.8437,13.60387,694.825874006703,809.2265436232483,6948.25874006703,9032.736362087138,11117.213984107248,13201.691606127357,15286.169228147466,17370.646850167574,8092.265436232483,10519.945067102228,12947.624697971973,15375.304328841718,17802.983959711462,20230.663590581207,8138.71462078609,10476.323722326804,12813.932823867517,15151.541925408234,17489.151026948944,9039.836619141022,11166.52681620261,13293.217013264195,15419.907210325784,17546.59740738737
.DJI,2010-05-31,10136.62991,14.68596,12.47857,690.2258967067866,812.3230394187796,6902.258967067865,8972.936657188226,11043.614347308585,13114.292037428944,15184.969727549304,17255.647417669665,8123.230394187795,10560.199512444135,12997.168630700473,15434.137748956811,17871.10686721315,20308.075985469488,8084.833635770047,10406.966991220364,12729.100346670682,15051.233702121002,17373.36705757132,9074.42744701739,11209.255398957992,13344.083350898594,15478.911302839197,17613.739254779797
.DJI,2010-06-30,9774.021707,14.18264,12.0507,689.1539027289701,811.0750169699685,6891.539027289701,8959.000735476611,11026.462443663522,13093.924151850433,15161.385860037342,17228.847568224253,8110.750169699685,10543.97522060959,12977.200271519496,15410.4253224294,17843.650373339307,20276.87542424921,8072.2770321848375,10390.8038684005,12709.330704616164,15027.85754083183,17346.384377047492,9060.4858392894,11192.03392216427,13323.58200503914,15455.13008791401,17586.67817078888
.DJI,2010-08-31,10014.72094,13.60438,12.04997,736.1394594976028,831.0992425707283,7361.394594976028,9569.812973468837,11778.231351961645,13986.649730454454,16195.068108947262,18403.48648744007,8310.992425707283,10804.290153419468,13297.587881131652,15790.885608843837,18284.183336556023,20777.481064268206,8622.633678568096,11099.234457122664,13575.83523567723,16052.4360142318,18529.036792786366,9284.175644427532,11468.348452262873,13652.521260098214,15836.694067933555,18020.866875768894
.DJI,2010-09-30,10788.0532,14.64645,13.02121,736.5643688402309,828.4985189548437,7365.64368840231,9575.336794923001,11785.029901443695,13994.723007964389,16204.41611448508,18414.109221005772,8284.985189548437,10770.480746412968,13255.976303277499,15741.47186014203,18226.967417006563,20712.462973871094,8627.610775721105,11105.64108069922,13583.671385677335,16061.70169065545,18539.731995633563,9255.123067291503,11432.461035782097,13609.799004272692,15787.136972763288,17964.47494125388
.DJI,2010-11-30,11006.02119,13.83939,13.19141,795.2677964852497,834.3324322418907,7952.677964852497,10338.481354308247,12724.284743763996,15110.088133219744,17495.891522675494,19881.694912131243,8343.324322418906,10846.321619144579,13349.318915870252,15852.316212595924,18355.313509321597,20858.31080604727,9315.222539672433,11990.749328141186,14666.276116609939,17341.802905078694,20017.329693547443,9320.293473997408,11512.96327545349,13705.633076909573,15898.302878365655,18090.972679821738
