Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE,EPS,Forward_EPS,Band_12x,Band_15x,Band_18x,Band_21x,Band_24x,Band_27x,Band_fwd_12x,Band_fwd_15x,Band_fwd_18x,Band_fwd_21x,Band_fwd_24x,Band_fwd_27x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.SPX,2006-09-22,1314.78,15.79703,15.05097,13.6857,14.059746575342466,83.22956910254649,93.51377657872007,998.7548292305579,1248.4435365381973,1498.132243845837,1747.8209511534762,1997.5096584611158,2247.198365768755,1122.1653189446408,1402.706648680801,1683.2479784169614,1963.7893081531215,2244.3306378892817,2524.871967625442,921.8507268413514,1291.737873701866,1661.6250205623805,2031.5121674228951,2401.3993142834097,963.6678589410842,1246.2810693556437,1528.894279770203,1811.5074901847624,2094.120700599322
.SPX,2006-09-29,1335.85,16.05123,15.29962,13.92675,14.276549753424655,83.22415166937361,93.56952646626378,998.6898200324833,1248.3622750406041,1498.0347300487251,1747.707185056846,1997.3796400649667,2247.0520950730875,1122.8343175951654,1403.5428969939567,1684.2514763927481,1964.9600557915394,2245.668635190331,2526.377214589122,921.7907233502618,1291.6537941651927,1661.5168649801237,2031.3799357950545,2401.2430066099855,964.2423665348422,1247.0240618002483,1529.8057570656545,1812.5874523310606,2095.3691475964665
.SPX,2006-10-06,1349.58,16.19048,15.43336,14.05852,14.382454904109588,83.35639215143713,93.83516298141676,1000.2767058172456,1250.345882271557,1500.4150587258684,1750.48423518018,2000.553411634491,2250.622588088803,1126.021955777001,1407.5274447212514,1689.0329336655016,1970.538422609752,2252.043911554002,2533.5494004982525,923.2554189605191,1293.7061902181817,1664.1569614758444,2034.607732733507,2405.0585039911693,966.9797746599279,1250.5642648834387,1534.1487551069495,1817.73324533046,2101.317735553971
.SPX,2006-10-13,1365.62,16.33786,15.60452,14.23401,14.530640931506849,83.58622243059985,93.98208973968384,1003.0346691671982,1253.7933364589976,1504.5520037507972,1755.3106710425968,2006.0693383343964,2256.828005626196,1127.7850768762062,1409.7313460952575,1691.6776153143092,1973.6238845333608,2255.5701537524124,2537.5164229714637,925.8010191862664,1297.273197464755,1668.7453757432434,2040.2175540217318,2411.6897323002204,968.4938680880894,1252.522393879073,1536.5509196700566,1820.5794454610402,2104.6079712520236
.SPX,2006-10-20,1368.6,16.8493,15.56454,14.28732,14.539264767123289,81.22592629960889,94.131307319936,974.7111155953066,1218.3888944941332,1462.06667339296,1705.7444522917867,1949.4222311906133,2193.10001008944,1129.575687839232,1411.96960979904,1694.363531758848,1976.757453718656,2259.151375678464,2541.545297638272,899.6583786875033,1260.6409772282607,1621.623575769018,1982.6061743097755,2343.5887728505327,970.0315686423698,1254.5110532219749,1538.9905378015799,1823.4700223811851,2107.94950696079
.SPX,2006-10-27,1377.34,16.79987,15.60949,14.36552,14.58704890410959,81.98515821848622,94.42211437379659,983.8218986218346,1229.7773732772932,1475.732847932752,1721.6883225882107,1967.6437972436693,2213.599271899128,1133.065372485559,1416.3317156069488,1699.5980587283386,1982.8644018497284,2266.130744971118,2549.397088092508,908.0676315985196,1272.4243930876994,1636.781154576879,2001.1379160660588,2365.4946775552385,973.0283614274724,1258.3867102569193,1543.7450590863664,1829.1034079158132,2114.46175674526
.SPX,2006-11-03,1364.3,16.44646,15.42631,14.24697,14.43437197260274,82.95402171652745,94.51744783836241,995.4482605983294,1244.3103257479117,1493.172390897494,1742.0344560470764,1990.8965211966588,2239.758586346241,1134.209374060349,1417.7617175754363,1701.3140610905234,1984.8664046056108,2268.418748120698,2551.9710916357853,918.7987639293733,1287.4613287388397,1656.1238935483061,2024.7864583577723,2393.449023167239,974.0107813344072,1259.6572427550316,1545.303704175656,1830.9501655962806,2116.596627016905
.SPX,2006-11-10,1380.9,16.55546,15.62197,14.42002,14.587963698630135,83.4105485441057,94.66023007238987,1000.9265825292683,1251.1582281615854,1501.3898737939026,1751.6215194262195,2001.8531650585367,2252.084810690854,1135.9227608686783,1419.903451085848,1703.8841413030175,1987.8648315201872,2271.8455217373566,2555.8262119545266,923.8552551783795,1294.546707167475,1665.2381591565702,2035.9296111456654,2406.621063134761,975.4821650683774,1261.5601366581448,1547.638108247912,1833.7160798376792,2119.7940514274464
.SPX,2006-11-17,1401.2,16.76073,15.82452,14.6524,14.793696657534246,83.60017731924565,94.7160153703967,1003.2021278309478,1254.0026597886847,1504.8031917464216,1755.6037237041585,2006.4042556618956,2257.2047876196325,1136.5921844447605,1420.7402305559506,1704.8882766671406,1989.0363227783307,2273.184368889521,2557.332415000711,925.9555835361705,1297.489779845049,1669.0239761539274,2040.558172462806,2412.092368771684,976.0570375701353,1262.303601026689,1548.5501644832425,1834.796727939796,2121.0432913963496
.SPX,2006-11-24,1400.95,16.77039,15.84575,14.63804,14.760465397260274,83.53711511777604,94.9123189747143,1002.4453814133125,1253.0567267666406,1503.6680721199687,1754.279417473297,2004.890762826625,2255.502108179953,1138.9478276965715,1423.6847846207145,1708.4217415448572,1993.1586984690002,2277.895655393143,2562.632612317286,925.2571065779473,1296.5110431422681,1667.7649797065887,2039.0189162709094,2410.27285283523,978.0799638275934,1264.9197873775988,1551.7596109276044,1838.5994344776102,2125.439258027616
.SPX,2006-12-01,1396.71,16.76729,15.79346,14.59582,14.69425616438356,83.2996864728886,95.0514258343606,999.5962376746631,1249.4952970933289,1499.3943565119948,1749.2934159306606,1999.1924753493263,2249.091534767992,1140.6171100123272,1425.771387515409,1710.9256650184907,1996.0799425215725,2281.2342200246544,2566.388497527736,922.6273468516561,1292.8261078937755,1663.0248689358948,2033.2236299780138,2403.422391020133,979.5134724987624,1266.7736986635875,1554.0339248284124,1841.2941509932375,2128.5543771580624
.SPX,2006-12-08,1409.84,16.90458,15.91666,14.72724,14.802189753424658,83.3998833452236,95.24536730613234,1000.7986001426832,1250.998250178354,1501.1979002140247,1751.3975502496955,2001.5972002853664,2251.7968503210373,1142.944407673588,1428.6805095919851,1714.4166115103822,2000.1527134287792,2285.888815347176,2571.624917265573,923.7371274330676,1294.3811813636637,1665.0252352942596,2035.6692892248554,2406.3133431554515,981.5120567683736,1269.358404293871,1557.2047518193683,1845.0510993448656,2132.897446870363
.SPX,2006-12-15,1427.09,17.09439,16.20151,14.92332,14.979350246575343,83.48294381958057,95.27048747166243,1001.7953258349669,1252.2441572937084,1502.6929887524502,1753.141820211192,2003.5906516699338,2254.0394831286753,1143.2458496599493,1429.0573120749366,1714.868774489924,2000.6802369049112,2286.4916993198985,2572.3031617348856,924.6571052664674,1295.670294856518,1666.6834844465684,2037.6966740366188,2408.709863626669,981.7709223282759,1269.6931869099155,1557.6154514915554,1845.537716073195,2133.459980654835
.SPX,2006-12-22,1410.76,16.87556,16.07647,14.74837,14.781117671232876,83.59781838350845,95.4433914524361,1003.1738206021014,1253.9672757526268,1504.760730903152,1755.5541860536775,2006.3476412042028,2257.1410963547282,1145.3206974292332,1431.6508717865415,1717.9810461438499,2004.3112205011582,2290.6413948584664,2576.9715692157747,925.9294559633937,1297.4531687383687,1668.9768815133439,2040.5005942883188,2412.0243070632937,983.552713365389,1271.9975207304308,1560.442328095473,1848.8871354605149,2137.331942825557
.SPX,2006-12-29,1418.3,16.96443,16.21787,14.82695,14.834571479452054,83.60434155465288,95.60774990801337,1003.2520986558345,1254.0651233197932,1504.8781479837517,1755.6911726477103,2006.504197311669,2257.3172219756275,1147.2929988961605,1434.1162486202006,1720.9394983442407,2007.7627480682809,2294.585997792321,2581.409247516361,926.0017066085146,1297.5544095271264,1669.1071124457378,2040.6598153643495,2412.212518282961,985.2464419985351,1274.1879662376984,1563.129490476862,1852.0710147160253,2141.0125389551886
.SPX,2007-01-05,1409.71,16.8015,14.72501,,14.72501,83.90381811147815,95.73575841374641,1006.8458173377378,1258.5572716721722,1510.2687260066066,1761.980180341041,2013.6916346754756,2265.4030890099098,1148.829100964957,1436.036376206196,1723.2436514474355,2010.4509266886746,2297.658201929914,2584.865477171153,929.3187090219378,1302.2023395225394,1675.0859700231408,2047.9696005237422,2420.8532310243436,986.5655811367363,1275.8939670351028,1565.2223529334692,1854.5507388318356,2143.879124730202
.SPX,2007-01-12,1430.73,17.05797,15.00242,,15.00242,83.87457593136814,95.36661418624462,1006.4949111764176,1258.1186389705222,1509.7423667646265,1761.366094558731,2012.9898223528353,2264.61355014694,1144.3993702349353,1430.4992127936694,1716.5990553524032,2002.698897911137,2288.7987404698706,2574.8985830286047,928.9948226282017,1301.748495630699,1674.5021686331959,2047.255841635693,2420.00951463819,982.7615167478102,1270.9742912458344,1559.1870657438583,1847.3998402418824,2135.612614739907
