"Date","Price","PE","Forward_PE","Source"
"2021-07-05","3278.389892578125","25.20976116757435","15.942954710278418","YFINANCE"
"2021-07-12","3145.449951171875","24.214342728251047","15.381963125305226","YFINANCE"
"2021-07-19","3280.06005859375","25.01716896627705","15.777373248808697","YFINANCE"
"2021-07-26","3356.530029296875","25.351373848900355","16.089419811958848","YFINANCE"
"2021-08-02","3412.050048828125","24.928891208070503","16.165185291687195","YFINANCE"
"2021-08-09","3335.0400390625","23.682159144623082","15.415495649243546","YFINANCE"
"2021-08-16","3256.5","23.17249378692785","15.094611458174096","YFINANCE"
"2021-08-23","3436.449951171875","24.02481199967048","15.77054306791576","YFINANCE"
"2021-08-30","3430.889892578125","23.883259641341798","15.665089222997524","YFINANCE"
"2021-09-06","3416.659912109375","23.697103570058513","15.521291684535441","YFINANCE"
"2021-09-13","3421.159912109375","23.85938749890899","15.588469538795776","YFINANCE"
"2021-09-20","3453.919921875","24.024209920350902","15.653339434526176","YFINANCE"
"2021-09-27","3261.179931640625","22.80031764068847","14.977238150291376","YFINANCE"
"2021-10-04","3246.27001953125","21.73922698829741","15.118570436506662","YFINANCE"
"2021-10-11","3314.409912109375","21.99638225676412","15.230690696838716","YFINANCE"
"2021-10-18","3370.280029296875","22.092332278810126","15.304206909863785","YFINANCE"
"2021-10-25","3451.27001953125","22.078465781567992","15.714911601202564","YFINANCE"
"2021-11-01","3756.550048828125","23.43075435099806","16.63375786840847","YFINANCE"
"2021-11-08","3794.5","23.362530888302466","16.64689175645082","YFINANCE"
"2021-11-15","3912.02001953125","23.96002018960082","17.03960560558649","YFINANCE"
"2021-11-22","3757.1298828125","22.986235548728615","16.68747060393758","YFINANCE"
"2021-11-29","3804.5400390625","23.196521391361483","16.770469426230797","YFINANCE"
"2021-12-06","3914.669921875","24.10529469552779","17.300575403226528","YFINANCE"
"2021-12-13","3761.0400390625","23.274018197196295","16.74697204621333","YFINANCE"
"2021-12-20","3932.389892578125","24.50661097714337","17.448150043830015","YFINANCE"
"2021-12-27","3946.169921875","23.803655351798223","18.083865732412526","YFINANCE"
"2022-01-03","3796.320068359375","23.270800566444045","19.096853391919442","YFINANCE"
"2022-01-10","3900.610107421875","24.017756381746004","19.537763744855148","YFINANCE"
"2022-01-17","3434.7900390625","21.015672304983248","17.417028696026293","YFINANCE"
"2022-01-24","3303.39990234375","20.21811049603763","16.931534982083697","YFINANCE"
"2022-01-31","3453.070068359375","20.70953178834413","17.99400175728183","YFINANCE"
"2022-02-07","3365.25","20.372981716180732","18.237302826531778","YFINANCE"
"2022-02-14","3384.300048828125","20.35379172976901","18.1235679503488","YFINANCE"
"2022-02-21","3452.669921875","20.41266525665276","18.323896583436763","YFINANCE"
"2022-02-28","3258.919921875","19.294424501652887","17.483382892597287","YFINANCE"
"2022-03-07","3144.14990234375","18.26090415125934","16.74588345466094","YFINANCE"
"2022-03-14","3432.300048828125","19.893080713471583","17.752662975361872","YFINANCE"
